"","Clo22","Clo26","Clo33","Clo34","Hyg2","Hyg3","Hyg14","Hyg35","Hyg37","NHyg5","NHyg6","NHyg7","NHyg8","NHyg10"
"LOC551580",431,519,506,572,400,246,472,401,597,354,253,326,324,508
"LOC551555",5996,7097,6331,4456,4697,6963,5061,4768,5254,5297,4336,4345,4108,6267
"LOC726347",1105,976,949,578,567,1731,894,585,1125,586,845,1055,520,988
"Rfwd3",4510,4398,4848,2348,3702,7544,3747,2921,4916,2910,3653,4163,2953,4917
"LOC726145",1250,1305,1122,1218,1336,1580,1307,1453,1408,1848,1264,1337,1776,1980
"LOC551448",1900,1606,1527,2254,1880,1979,1732,1607,2023,2365,1880,2045,2011,2193
"LOC410665",607,579,566,415,737,1069,648,592,680,699,523,600,515,574
"LOC408567",3676,3715,3102,5573,2647,1901,3684,3651,2156,3558,1169,1760,2197,1746
"LOC107964061",574,676,463,456,420,359,583,617,344,599,439,599,673,584
"LOC107964068",2,10,22,4,22,23,28,37,9,13,20,29,10,11
"LOC113219112",67,48,33,27,18,16,24,22,17,37,26,39,29,44
"LOC726450",4166,4949,4559,3068,4444,4211,4596,4150,3407,4807,3528,4774,3545,4719
"LOC107964063",6,10,0,0,4,0,8,16,14,10,0,22,4,2
"LOC113219111",691,863,866,660,826,704,732,698,840,773,732,684,791,926
"LOC410664",835,879,845,597,771,932,1014,681,869,1130,660,798,639,1206
"LOC408565",2162,2346,2072,2153,2549,2539,2345,2506,1634,2481,2641,2317,2181,3047
"LOC410663",564,672,585,758,517,599,494,634,882,675,338,647,626,547
"LOC113219398",788,726,581,486,736,743,918,657,734,514,580,769,725,560
"LOC726544",4507,5599,4937,2386,3465,4767,3716,2988,4919,2189,3748,4855,3543,4283
"Mir2-2",0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Mir2-1",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Mir2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mir13b",0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Mir13a",0,0,2,0,0,0,4,0,0,4,0,6,0,0
"Mir2-3",0,0,0,0,1,4,0,3,0,6,0,2,0,0
"Mir71",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"LOC410772",710,763,642,520,686,691,669,680,665,870,635,710,570,773
"LOC551203",5848,5061,5317,3191,3511,6707,3983,3371,3013,3332,3057,4454,3561,5821
"LOC100578621",4520,6097,6619,6160,3455,4701,4589,4645,4317,6431,4058,5338,4949,5078
"LOC726446",7,7,16,12,1,0,7,4,18,0,2,2,15,8
"LOC100578600",7879,10201,8913,7221,9254,6836,8497,7486,3719,9744,6448,7188,8130,11825
"LOC410771",2408,4069,2739,2346,4844,2302,3267,4150,1461,4485,3769,4218,3363,4236
"LOC100578571",6,25,12,12,14,28,2,14,4,12,28,17,26,34
"Mir3768",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102654047",5,10,6,0,5,0,8,0,2,0,0,0,0,6
"LOC100577692",458,871,640,376,572,819,637,443,588,495,804,765,365,869
"LOC107965716",3,14,33,6,18,1,6,21,20,17,8,8,12,31
"LOC410769",4384,5458,4863,6602,4485,4653,4805,5430,5088,6771,4684,4607,5226,6321
"Emc",14509,14097,9020,14693,5276,5106,6282,5861,8071,6272,8151,7896,6650,8382
"LOC113219286",0,0,0,0,0,0,0,0,0,2,0,2,0,0
"LOC100578334",33,27,57,34,39,56,82,40,14,38,33,15,15,51
"LOC726756",732,793,813,733,1051,929,901,834,727,1132,1019,920,830,1210
"Nedd9",835,931,687,790,648,706,919,907,582,957,688,681,787,697
"Mir3766",0,0,0,0,0,0,0,0,0,0,0,0,5,0
"LOC726609",7529,9774,7427,5352,7772,6450,7576,8704,3896,8154,5242,7043,7711,7407
"LOC726788",1193,1106,1209,849,1237,1392,1349,1107,1370,880,873,962,939,1238
"LOC100578031",591,779,685,501,1223,686,982,1108,324,1317,1235,1432,687,1235
"LOC107966044",76,104,83,71,59,134,97,102,177,99,125,103,94,136
